Metric,Score
Accuracy,0.9987127076973733
Weighted Precision,0.9987732683173723
Weighted Recall,0.9987127076973733
Weighted F1,0.9987286201646699
Macro Precision,0.9366356323167835
Macro Recall,0.8618036686762406
Macro F1,0.8766230329854658
