Model,Accuracy,Precision Weighted,Recall Weighted,F1 Weighted,Precision Macro,Recall Macro,F1 Macro,Balanced Accuracy
Random Forest,0.9624166185667616,0.963887720614354,0.9624166185667616,0.9454607280582275,0.9451577312140407,0.7049154640063124,0.7578938156789835,0.7049154640063124
Extra Trees,0.9980204657657604,0.9980533277458649,0.9980204657657604,0.9980288457621952,0.9314620336286014,0.8513970046461576,0.8697471901756776,0.8513970046461576
